game_time,match_id_hash,teamfights_number,objectives_number,chat_number,game_mode,lobby_type,players_number,targets_number
155,a400b8f29dece5f4d266f49f1ae2e98a,0,1,11,22,7,10,5
658,b9c57c450ce74a2af79c9ce96fac144d,2,3,10,4,0,10,5
21,6db558535151ea18ca70a6892197db41,0,0,0,23,0,10,5
576,46a0ddce8f7ed2a8d9bd5edcbb925682,0,1,4,22,7,10,5
453,b1b35ff97723d9b7ade1c9c3cf48f770,0,1,3,22,7,10,5
160,19c39fe2af2b547e48708ca005c6ae74,0,0,0,22,7,10,5
1016,c96d629dc0c39f0c616d1949938a6ba6,2,1,0,22,0,10,5
582,156c88bff4e9c4668b0f53df3d870f1b,1,2,2,22,7,10,5
636,df50f738c454d430a33b2bf90cb9ef1a,0,1,5,22,7,10,5
1054,7469e9440ea3d19b211a484647c7126e,3,8,5,22,0,10,5
1797,0aa1c6d7630433a93fe42da5ac810368,6,9,2,22,7,10,5
605,892b5d40992e4b334e159f99b2bb55e6,0,0,5,22,7,10,5
1514,44eb0c077ca68678bb9bfead29e9c455,7,6,3,22,7,10,5
852,eda82a5a0ae96848e73929c643925633,3,2,1,4,0,10,5
721,ab3cc6ccac661a1385e73a2e9f21313a,1,2,1,4,0,10,5
11,a3c3892648b873bb869dd81ca0f62286,0,0,11,22,0,10,5
1362,34c81a8faede0d8f1f87dcc6ee824658,4,6,4,4,0,10,5
2388,5feece770ca79e5e8cd8052198b3f533,14,16,10,4,0,10,5
752,54aaab1cb8cc5df3c253641618673266,1,1,0,22,7,10,5
2302,c95069179039952da9db7635ee22972b,8,16,14,22,7,10,5
2043,8f56cc2468ba5c37edb79f3a7b4af6e6,4,15,49,22,0,10,5
730,171d8515f371cdf5d03c44575cee70c7,0,1,4,22,7,10,5
840,44cdded6d3311134563f743eb77685b2,1,2,27,22,7,10,5
1955,086e5ed8fee6258a3b6ed9127f833573,11,15,3,4,0,10,5
342,b6f39b49177535c9417eecd8c696674d,0,1,0,22,7,10,5
154,8ca9e390d39160645953a682a8d6f225,0,1,0,22,7,10,5
1249,4b6e4e511d399180776d0f23984466b2,5,5,4,22,7,10,5
907,fb4860c8425b62dbe413214beb6650c8,2,3,16,22,7,10,5
655,06b147af8683a7973e6f431c412448b7,0,1,11,22,7,10,5
1465,7d30c0cc9a54fbf92d3fcddcab73d794,2,5,0,22,7,10,5
1654,64ed11373bcf2cfea7a60ede637b70d2,6,8,0,22,7,10,5
908,95a57e13d66411aa89e23c2dafa116dd,2,2,0,22,7,10,5
2991,00a7f372afae35b59ce3819155d95318,16,26,14,22,7,10,5
1079,bf366db368cc34b63235973dd3f50b0b,6,4,4,22,7,10,5
79,70e55187a655b6daacbf58a832d662db,0,1,0,22,7,10,5
983,a26ea6c7d63eb1df557dbcae742b4705,3,2,3,22,0,10,5
736,88f9976aa7627b1f0d3e60d4b0483956,2,1,10,22,7,10,5
